Text,Sentimen
ABJINGGGGG BENER BGT TAIIII STASIUN TRANSIT TANAH ABANG AMA MANGGARAI EMANG BUAT WARGAWARGA YANG DISAYANG TUHAN ALIAS BANYAK BET COBAANNNYA,Negatif
baghiailman Pagi ini di Stasiun Manggarai Faktor kepadatan peron 6 dan 7 ya ini salah satunya Coba segera dicek ya jangan lamalama…,Negatif
Beberapa hari lalu saya ke Stasiun Manggarai Itu susah informasi minim fasilitas yang bisa digunakan juga terbatas bebernya,Negatif
biancabicu CommuterLine Dibangun stasiun baru dengan dulu sebelum ada stasiun baru Manggarai tetap saja delay Apa guna kalau begitu dengan adanya stasiun baru Manggarai itu,Negatif
CommuterLine Ga ngerti lagi air di stasiun kenapa kotor banget dah  Kan di pake buat cebok bersihin kelamin ya apa ga bahaya air keruh gitu  barusan banget kejadian si sy Manggarai lt bawah,Negatif
commuterline ini apaapaan sih percuma optimalisasi stasiun Manggarai kalo malah bikin tertahan lebih sering kayak gini Udah mah masuk Manggarai tertahan di Pasar Minggu lebih lama lagi Ga jelas njir,Negatif
CommuterLine ini kereta bogor ke kota lama banget berhentinya di setiap stasiun min belum sampe manggarai udh 30menit aja ini dijalan berikut nomer keretanya  K1 1 85 81,Negatif
CommuterLine Woiii bangke Kagak masuk masuk manggarai Jalur lu di stasiun manggarai tuh ada 4 ya buat yang ke bogorjkt kota Bisa gak sih ngaturnya BANGKEE,Negatif
detikcom Eskalator di Stasiun Manggarai Jakarta Selatan mengalami tiga kali kematian Kenapa eskalator di stasiun yang strategis ini…,Negatif
detikcom Eskalator di Stasiun Manggarai Jakarta Selatan mengalami tiga kali kematian Kenapa eskalator di stasiun yang strategis ini…,Negatif
detikcom Eskalator di Stasiun Manggarai Jakarta Selatan mengalami tiga kali kematian Kenapa eskalator di stasiun yang strategis ini…,Negatif
detikcom Eskalator di Stasiun Manggarai kembali mati meski selesai diperbaiki sepekan lalu Sementara pagi ini seperti biasa Stasiun…,Negatif
Eskalator di Stasiun Manggarai Jakarta Selatan mengalami tiga kali kematian Kenapa eskalator di stasiun yang strategis ini rusak terus detikcomdoyourmagic,Negatif
Eskalator di Stasiun Manggarai kembali mati meski selesai diperbaiki sepekan lalu Sementara pagi ini seperti biasa Stasiun Manggarai ramai penumpang KRL detikcomdoyourmagic,Negatif
gajulndase junot911 SmgMenfess2 apalagi liat manggarai sekarang udah bukan stasiun lagi tapi lautan manusiaa,Negatif
Gw pengguna krl pun ogah turun di manggarai selama ada opsi stasiun lain,Negatif
If ngeluhin stasiun manggarai was a sport,Negatif
If ngeluhin stasiun manggarai was a sport,Negatif
Just Jakarta view taken from peron 12 stasiun Manggarai yang desekdesekan,Negatif
Kalo mau ngotak ngatik jalur KRL sama stasiun transitnya mbok ya pas Manggarai udah siap aja gitu lho,Negatif
kompascom kompascom CommuterLine CommuterLine jokowi situasi hari Jumat 17 Jun 2022 sekitar jam 1730 di stasiun manggarai Tidak ada jaga jarak sama sekali Eskalator 1 nya rusak Lewat tangga manual juga sering penuh berdesakan Bagaimana dgn penanggulangan covid,Negatif
mainiszz Selamat sore kami mohon maaf atas ketidaknyamannnya perihal jarak antara kereta dengan peron di Stasiun Manggarai menjadi cacatan perbaikan kami demi keamanan dan keselamatan pengguna jasa KRL |1,Negatif
Masuk berita berkali2 soal eskalator di stasiun Manggarai yg rusak Dibetuli rusak lagi Mengapa eskalator di stasiun2 M tidak ada yg rusak Bukankah eskalator di M lbh dulu beroperasi drpd yg di Manggarai,Negatif
Merasakan hiruk pikuk switch over Stasiun Manggarai Lumayan membingungkan haha,Negatif
mimpijadisultan Selamat sore mohon maaf atas ketidaknyamanannya Bisa diinformasikan kembali lokasi lebih tepatnya air keruh yg dimaksud di Stasiun Manggarai Apabila berada di toilet bisa diinformasikan kembali toilet yg berada di dekat peron 1 atau hall baru Stasiun Manggarai Tks,Negatif
Plissss stasiun manggarai gak ramah banget buat bumil jalan keluarnya jauh banget kalo turun di peron 11,Negatif
saturnomeus I want him kena tampias hujan angin di stasiun manggarai tapi gabisa keluar grgr akses nya ribet harus nyebrang sana sini,Negatif
sedang mempersiapkan diri untuk menerjang ramainya stasiun manggarai,Negatif
Sementara dalam rekaman video itu juga tertulis tidak ada penjagaan di titik ini eskalator yang terpakai cuma 1 dorong dorongan teriak  teriakan Lokasi titik di dalam video itu tertulis Stasiun Manggarai,Negatif
siregar_najeges aniesbaswedan Stasiun Manggarai banyak cerita buat gw sering liat ibu2 jambak2 an krn suaminya pacaran  di kereta ya dll ya,Negatif
STASIUN MANGGARAI NI GUE LIAT LIAT KEK SETAN YE JAUH BETUL TANGGA DAN NAIK TURUNNYAA YAALLAH GEMPOR,Negatif
Stasiun Manggarai rencananya akan menjadi stasiun sentral di Jakarta Namun sangat disayangkan stasiun ini ternyata belum memiliki tempat parkir mobil,Negatif
Stasiun yg bikin jompo manggarai,Negatif
winnierosmawaty CommuterLine Perasaan gue doang atau tiap ke Stasiun Manggarai pasti ada aja eskalator dalam perbaikan entah yang di lantai 2 atau yang di lantai Bagi gue yang bukan commute dan emang lebih milih naik tangga ya ga masalah sih cuman ya nganu,Negatif
Yaampun stasiun manggarai marakke mumet tenan,Negatif
sekarang bukan hanya tekanan dari kantor doang tapi dari stasiun manggarai juga wkwk,Negatif
kalo jalur kereta atas kaya st manggarai cikini gondang juanda oke lah harus ada tangga tapi harus ada lift juga si lah ini rata2 stasiun jalur bekasi kereta jalur nya di bawah tapi penumpang TERPAKSA harus naik tangga dulu kasih kenyamanan dong utk lansia  ibu hamil,Negatif
ga duduk karena siap siap stasiun manggarai,Negatif
